date,market_price,fair_value_median,fair_value_p25,fair_value_p75,implied_return,valuation_signal,actual_margin,actual_interest_ratio,rate_sensitivity_score,debt_category,wacc
2024-09-30,268.2,468.90865535459176,406.9992612454693,547.9795264047973,74.83544196666361,UNDERVALUED,12.192557385860152,0.2913624387535979,3.883727982390475,low_debt,10.0
2024-10-01,265.9,467.50004726590623,406.9103325143002,546.1095892606219,75.81799445878386,UNDERVALUED,12.192557385860152,0.2913624387535979,3.883727982390478,low_debt,10.0
2024-11-01,274.9,463.7447824345045,403.242057301861,546.014150356872,68.69581027082741,UNDERVALUED,12.192557385860152,0.2913624387535979,3.883727982390475,low_debt,10.0
2024-12-02,276.7,466.1442705202661,401.9387370440877,548.5891758603045,68.46558385264407,UNDERVALUED,12.192557385860152,0.2913624387535979,3.883727982390475,low_debt,10.0
2025-01-02,269.8,828.4684644621403,606.741325609622,1175.3744446614035,207.06762952636777,UNDERVALUED,12.578473017444178,0.296250991467915,3.7639586589082126,low_debt,10.0
2025-02-03,307.5,816.9938982935698,589.3324193711518,1159.0355899165259,165.68907261579508,UNDERVALUED,12.578473017444178,0.296250991467915,3.763958658908216,low_debt,10.0
2025-03-03,337.4,824.8614103643025,607.8952295578289,1167.5128642520856,144.4758181281276,UNDERVALUED,12.578473017444178,0.296250991467915,3.7639586589082152,low_debt,10.0
2025-04-01,291.9,603.317891579879,433.0275170270261,848.197990667288,106.68649934219903,UNDERVALUED,12.560753808637132,0.2991254257417829,3.769736132666104,low_debt,10.0
2025-05-02,266.8,597.2870504898493,430.39908617115316,847.9854692908564,123.87070857940378,UNDERVALUED,12.560753808637132,0.2991254257417829,3.7697361326661043,low_debt,10.0
2025-06-02,258.6,594.2680117407233,430.86018427259086,834.1512937571553,129.8020153676424,UNDERVALUED,12.560753808637132,0.2991254257417829,3.769736132666108,low_debt,10.0
2025-07-01,266.0,589.9202457781548,430.2510799905685,834.4003717458313,121.77452848802814,UNDERVALUED,12.480245995384156,0.30250769714473974,3.7948170291165053,low_debt,10.0
2025-08-01,273.3,586.414084517713,426.9772893596722,827.9133543787341,114.56790505587745,UNDERVALUED,12.480245995384156,0.30250769714473974,3.794817029116509,low_debt,10.0
2025-09-01,288.5,599.1503443904951,436.8059138754476,835.0058046829022,107.67776235372449,UNDERVALUED,12.480245995384156,0.30250769714473974,3.7948170291165053,low_debt,10.0
2025-10-01,270.0,355.3468594314138,251.9293334074071,495.6178636212213,31.60994793756067,FAIR_VALUE,12.261180266582652,0.31000607460335716,3.8645294655042797,low_debt,10.0
2025-11-03,258.2,352.2383757671205,258.39355329696093,493.89386352567567,36.420749716158205,UNDERVALUED,12.261180266582652,0.31000607460335716,3.864529465504284,low_debt,10.0
