confidence_thresh,upside_thresh,total_signals,clean_trades,win_rate,avg_actual_return,avg_predicted_return,correlation,volatility,sharpe_ratio,filtered_corp_actions,filtered_insufficient_upside,filtered_no_price
0.2,0.1,608,136,0.40441176470588236,-0.029019200378144573,2.7427619931701237,-0.1391765472052317,0.1981467396959395,-0.14645308029127893,2,462,8
0.2,0.2,608,131,0.4198473282442748,-0.023944211762714617,2.8416378720166757,-0.15918607800818713,0.19718924034964158,-0.12142757748981885,2,467,8
0.2,0.3,608,120,0.4083333333333333,-0.027373524877756305,3.078982696811115,-0.1544311156547741,0.20235934075242734,-0.135271862301854,2,478,8
0.2,0.5,608,106,0.41509433962264153,-0.022192217072214332,3.4316035788867993,-0.18194588652621063,0.20563099004068344,-0.1079225318509806,2,492,8
0.2,1.0,608,87,0.41379310344827586,-0.014272850807977444,4.020178911721956,-0.22246679102961714,0.21512974807489768,-0.06634531456341562,2,511,8
0.3,0.1,216,10,0.3,-0.16280160456569603,1.8636899173395451,-0.4084223220117489,0.2241370707113272,-0.7263484083602264,2,204,0
0.3,0.2,216,9,0.3333333333333333,-0.12775057512130478,2.0572400047734076,-0.5744442029729461,0.2066292326679142,-0.6182599309489772,2,205,0
0.3,0.3,216,8,0.375,-0.11894824935932347,2.2872505741105478,-0.6129948557644598,0.2190846185995608,-0.5429329093008354,2,206,0
0.3,0.5,216,6,0.5,-0.09653129666264298,2.9244017724609344,-0.7815596712499068,0.23331113207370965,-0.413744924233388,2,208,0
0.3,1.0,216,4,0.5,-0.08721700115847211,4.0658006536788704,-0.9296938503875309,0.284443042630574,-0.30662378081698033,2,210,0
0.4,0.1,168,8,0.125,-0.20723197455848275,2.0457837383188364,-0.40546870215636094,0.23081741110996085,-0.8978177753659924,2,158,0
0.4,0.2,168,7,0.14285714285714285,-0.16851356098609213,2.320647253730844,-0.5741008183768403,0.21946384293129104,-0.7678420223364527,2,159,0
0.4,0.3,168,6,0.16666666666666666,-0.16357095761424825,2.671229221006604,-0.6020132784984309,0.23998343207195993,-0.6815927091383579,2,160,0
0.4,0.5,168,4,0.25,-0.15225688269668985,3.8189453419802115,-0.7596473022604158,0.2796834784099122,-0.5443899781364195,2,162,0
0.4,1.0,168,3,0.3333333333333333,-0.12489723039592064,4.886413338179129,-0.9244617305927189,0.3359210751040902,-0.3718052830035131,2,163,0
0.5,0.1,144,8,0.125,-0.20723197455848275,2.0457837383188364,-0.40546870215636094,0.23081741110996085,-0.8978177753659924,2,134,0
0.5,0.2,144,7,0.14285714285714285,-0.16851356098609213,2.320647253730844,-0.5741008183768403,0.21946384293129104,-0.7678420223364527,2,135,0
0.5,0.3,144,6,0.16666666666666666,-0.16357095761424825,2.671229221006604,-0.6020132784984309,0.23998343207195993,-0.6815927091383579,2,136,0
0.5,0.5,144,4,0.25,-0.15225688269668985,3.8189453419802115,-0.7596473022604158,0.2796834784099122,-0.5443899781364195,2,138,0
0.5,1.0,144,3,0.3333333333333333,-0.12489723039592064,4.886413338179129,-0.9244617305927189,0.3359210751040902,-0.3718052830035131,2,139,0
0.6,0.1,114,7,0.0,-0.2629075897683163,2.1523090261378255,-0.48685920460193616,0.18227698230847267,-1.4423521085256399,2,105,0
0.6,0.2,114,6,0.0,-0.22701537646883282,2.4907373420883325,-0.7099559805071086,0.17043640966906307,-1.3319652585361856,2,106,0
0.6,0.3,114,5,0.0,-0.23278461551916832,2.9454537204907423,-0.7129899017877049,0.1898975547024013,-1.2258431441309376,2,107,0
0.6,0.5,114,3,0.0,-0.2638416208990372,4.658558214778311,-0.8991841650239163,0.20646391778004067,-1.2779066857586452,2,109,0
0.6,1.0,114,2,0.0,-0.278594511549057,6.679566645475737,-1.0,0.2897392137681369,-0.9615354025637745,2,110,0
0.7,0.1,94,6,0.0,-0.3025032991741468,2.4405160860496853,-0.48012931904956135,0.16340192234864231,-1.851283600744372,2,86,0
0.7,0.2,94,5,0.0,-0.2673517850959327,2.904271477172666,-0.7353157454102502,0.15526756975977962,-1.7218778236148273,2,87,0
0.7,0.3,94,4,0.0,-0.28464743606562704,3.5760504839467613,-0.71529857533069,0.17363686439148646,-1.6393260559223939,2,88,0
0.7,0.5,94,3,0.0,-0.2638416208990372,4.658558214778311,-0.8991841650239163,0.20646391778004067,-1.2779066857586452,2,89,0
0.7,1.0,94,2,0.0,-0.278594511549057,6.679566645475737,-1.0,0.2897392137681369,-0.9615354025637745,2,90,0
