symbol,company,sector,signal_date,entry_price,exit_price,fair_value,confidence,predicted_return,actual_return,success,prediction_error,abs_error
BUSER,Bambuser,Internettjänster,2024-02-14,0.971,0.802,1.29,0.88,0.32852729145211124,-0.17404737384140062,False,-0.5025746652935118,0.5025746652935118
EOLU B,Eolus,Vindkraft,2024-02-15,75.0,77.5,106.73,0.6,0.42306666666666665,0.03333333333333333,True,-0.3897333333333333,0.3897333333333333
EXALT,Exalt,Telekomtjänster,2024-02-22,0.498,0.515,0.83,0.3,0.6666666666666666,0.03413654618473896,True,-0.6325301204819277,0.6325301204819277
VIDH,Vidhance,Affärs- & IT-System,2024-02-27,11.798,9.5,14.36,0.84,0.21715545007628412,-0.1947787760637396,False,-0.41193422614002373,0.41193422614002373
BUSER,Bambuser,Internettjänster,2024-10-25,0.798,0.675,1.29,0.88,0.6165413533834586,-0.15413533834586465,False,-0.7706766917293233,0.7706766917293233
ARP,Arctic Paper,Skogsbolag,2024-11-07,44.92,45.94,116.97,0.37,1.6039626001780944,0.022707034728406055,True,-1.5812555654496883,1.5812555654496883
EOLU B,Eolus,Vindkraft,2024-11-20,46.85,55.4,107.76,0.59,1.3001067235859125,0.1824973319103522,True,-1.1176093916755603,1.1176093916755603
VIDH,Vidhance,Affärs- & IT-System,2024-11-22,6.24,5.48,14.36,0.84,1.3012820512820513,-0.12179487179487179,False,-1.4230769230769231,1.4230769230769231
