symbol,valuation_date,entry_price,fair_value_median,upside_to_median,return_90d,return_180d,return_365d,price_90d,price_180d,price_365d,threshold,max_drawdown_90d,max_drawdown_180d,max_drawdown_365d,rate_sensitivity_score,debt_burden_category
BILI A,2023-05-30,105.8,175.38,0.6576559546313799,-0.008506616257088767,0.05387523629489606,0.393194706994329,104.9,111.5,147.4,0.2,-0.0349716446124764,-0.0779773156899811,-0.0779773156899811,9.46,low_debt
BILI A,2023-07-13,110.6,176.19,0.5930379746835444,-0.044303797468354354,0.159132007233273,0.3544303797468356,105.7,128.2,149.8,0.2,-0.07685352622061484,-0.11799276672694392,-0.11799276672694392,9.46,low_debt
BILI A,2023-08-24,102.1,173.98,0.7040156709108717,0.0832517140058766,0.1537708129285015,0.27032321253672864,110.6,117.8,129.7,0.2,-0.04456415279138097,-0.04456415279138097,-0.04456415279138097,9.46,low_debt
BILI A,2023-10-05,106.6,174.65,0.6383677298311446,0.21575984990619138,0.27579737335834903,0.08348968105065672,129.6,136.0,115.5,0.2,-0.08489681050656658,-0.08489681050656658,-0.08489681050656658,9.46,low_debt
BILI A,2023-11-16,108.7,177.1,0.6292548298068076,0.04875804967801285,0.35050597976080966,0.15271389144434216,114.0,146.8,125.3,0.2,0.011039558417663319,0.011039558417663319,0.011039558417663319,9.46,low_debt
BILI A,2024-02-13,115.1,144.0,0.2510860121633363,0.2589052997393572,0.09470026064291925,0.2623805386620332,144.9,126.0,145.3,0.2,-0.009556907037358769,-0.009556907037358769,-0.022589052997393524,10.0,low_debt
GIGA,2024-10-30,3.14,6.54,1.0828025477707006,0.07006369426751584,-0.1273885350318471,-0.03821656050955417,3.36,2.74,3.02,0.2,-0.29936305732484075,-0.29936305732484075,-0.29936305732484075,4.17,extreme_debt
BOKUS,2023-07-13,32.4,40.19,0.2404320987654321,-0.0462962962962963,-0.018518518518518455,0.4876543209876545,30.9,31.8,48.2,0.2,-0.1080246913580247,-0.15740740740740736,-0.15740740740740736,10.0,low_debt
BOKUS,2023-09-14,30.4,40.84,0.3434210526315791,0.0032894736842105734,0.5230263157894737,0.5427631578947368,30.5,46.3,46.9,0.2,-0.10197368421052624,-0.10197368421052624,-0.10197368421052624,10.0,low_debt
BOKUS,2023-11-16,30.1,40.55,0.3471760797342191,0.15282392026578076,0.5681063122923589,0.7475083056478405,34.7,47.2,52.6,0.2,-0.0033222591362126715,-0.0033222591362126715,-0.0033222591362126715,10.0,low_debt
BHG,2023-05-09,11.25,13.72,0.21955555555555561,0.6888888888888889,-0.07377777777777779,0.44088888888888894,19.0,10.42,16.21,0.2,-0.008888888888888858,-0.17955555555555552,-0.17955555555555552,10.0,low_debt
DUST,2023-11-17,7.46,11.09,0.4865951742627346,0.6353887399463806,0.6849865951742627,-0.08579088471849862,12.2,12.57,6.82,0.2,0.04155495978552273,0.04155495978552273,-0.11394101876675598,10.0,low_debt
CEDER,2023-08-17,13.8,25.36,0.8376811594202898,-0.07246376811594203,-0.014492753623188482,0.5507246376811592,12.8,13.6,21.4,0.2,-0.15942028985507253,-0.15942028985507253,-0.15942028985507253,8.07,low_debt
CEDER,2023-10-19,12.5,25.04,1.0031999999999999,0.024000000000000056,0.2,1.4,12.8,15.0,30.0,0.2,-0.055999999999999946,-0.055999999999999946,-0.055999999999999946,8.07,low_debt
CEDER,2023-12-21,12.0,25.16,1.0966666666666667,0.3583333333333334,0.8000000000000002,1.25,16.3,21.6,27.0,0.2,-0.008333333333333304,-0.008333333333333304,-0.008333333333333304,8.07,low_debt
CEDER,2024-02-27,14.9,25.39,0.7040268456375839,0.48993288590604017,0.4093959731543624,1.2281879194630876,22.2,21.0,33.2,0.2,-0.10738255033557044,-0.10738255033557044,-0.10738255033557044,8.07,low_debt
CHEF,2023-11-13,13.65,17.21,0.2608058608058608,0.31868131868131866,0.5677655677655676,0.9047619047619048,18.0,21.4,26.0,0.2,-0.02930402930402933,-0.02930402930402933,-0.02930402930402933,0.0,moderate_debt
ACAD,2023-07-14,50.25,85.4,0.6995024875621891,-0.006567164179104443,0.03482587064676617,0.03482587064676617,49.92,52.0,52.0,0.2,-0.08935323383084581,-0.08935323383084581,-0.08935323383084581,6.37,moderate_debt
ACAD,2023-09-15,48.94,85.21,0.7411115651818553,0.025745811197384658,-0.032284429914180596,0.3751532488761749,50.2,47.36,67.3,0.2,-0.06497752349816101,-0.06497752349816101,-0.06497752349816101,6.37,moderate_debt
ACAD,2023-11-17,50.85,85.12,0.6739429695181908,-0.05408062930186824,0.08357915437561456,0.22320550639134712,48.1,55.1,62.2,0.2,-0.05408062930186824,-0.07807276302851522,-0.07807276302851522,6.37,moderate_debt
ACAD,2024-01-24,57.65,85.27,0.4790980052038161,-0.12228967909800516,-0.04596704249783172,0.17606244579358193,50.6,55.0,67.8,0.2,-0.18681699913269725,-0.18681699913269725,-0.18681699913269725,6.37,moderate_debt
ACAD,2024-03-27,48.6,85.17,0.7524691358024691,0.0823045267489712,0.39917695473251025,0.6748971193415638,52.6,68.0,81.4,0.2,-0.022633744855967107,-0.022633744855967107,-0.022633744855967107,6.37,moderate_debt
