symbol,timeframe,signal_date,entry_price,exit_price,hold_days,rank,predicted_discount,revenue_growth,debt_to_equity,fair_ps,current_ps,gross_return,net_return,success,growth_bucket
ELMRA,6M,2023-11-26,20.469,28.6175,180,1,0.9889739374783274,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09171348510907308,0.3980897943231227,0.3960897943231227,True,50-100%
ENRO,6M,2023-11-26,0.53,0.55,180,2,0.9881443221257882,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.037939685268817205,0.03773584905660381,0.035735849056603805,True,0-20%
NIUTEC,6M,2023-11-26,7.4,5.96,180,3,0.9844207721159821,1.451508753382989,0.15152429821913674,22.21472056307741,0.34608819403196156,-0.19459459459459463,-0.19659459459459463,False,>100%
NAS,6M,2023-11-26,9.3873,13.6996,180,4,0.9843608619535216,2.717480718056012,2.3992720178902793,29.583547539588128,0.46266118387617455,0.45937596540006187,0.45737596540006187,True,>100%
SAMT B,6M,2023-11-26,3.76,3.32,180,5,0.9830645100551977,0.4152080706179066,0.19816946331992788,7.268677778432592,0.1230986194286529,-0.11702127659574467,-0.11902127659574467,False,20-50%
ENRO,6M,2023-12-26,0.532,0.51,180,1,0.9880995837187156,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03808285389247312,-0.04135338345864665,-0.04335338345864665,False,0-20%
ELMRA,6M,2023-12-26,25.6885,30.2252,180,2,0.9861623427090729,0.6921792219359314,1.2915972180223767,8.317881830327279,0.1150999981544982,0.1766043171068766,0.1746043171068766,True,50-100%
NIUTEC,6M,2023-12-26,7.3,6.4,180,3,0.9846313022225229,1.451508753382989,0.15152429821913674,22.21472056307741,0.34141132654504314,-0.12328767123287664,-0.12528767123287662,False,>100%
AIK B,6M,2023-12-26,1.56,1.6,180,4,0.98430275058124,0.5207362340767905,0.05764344143412427,9.150027333754158,0.1436302612464114,0.025641025641025664,0.023641025641025666,True,50-100%
SAMT B,6M,2023-12-26,3.5,3.16,180,5,0.9842355811684022,0.4152080706179066,0.19816946331992788,7.268677778432592,0.11458648085113966,-0.0971428571428571,-0.0991428571428571,False,20-50%
