date,portfolio_value,cash,positions
2022-01-01,500000,500000,0
2022-04-01,500000,500000,0
2022-06-30,500000,500000,0
2022-09-28,500000,500000,0
2022-12-27,500000,500000,0
2023-03-27,500000,500000,0
2023-06-25,500000,500000,0
2023-09-23,500000,500000,0
2023-12-22,500000,500000,0
