symbol,sector,signal_date,entry_price,exit_price,fair_value,predicted_return,actual_return,confidence,wacc,success
DSNO,Möbler & Inredning,2024-02-15,0.4395,0.301,3.616892482810668,7.229561963164205,-0.31513083048919227,0.375,0.12000000000000001,False
EOLU B,Vindkraft,2024-02-15,74.85,77.5,186.6589326569615,1.4937733153902673,0.03540414161656655,0.375,0.09000000000000001,True
